business_name,niche,city,country,phone,email,website,google_rating,review_count,running_ads,score,tier,date_scraped,status,sequence_step,last_contact_date,conversation_history
The Best Restaurants in Abu Dhabi for Dining Out,Restaurant,Abu Dhabi,UAE,426676160214165,,https://www.zomato.com/abudhabi/restaurants,,379,,40,B,2026-08-11,,,,
Guide,Restaurant,Abu Dhabi,UAE,,,https://guide.michelin.com/en/ae-az/abu-dhabi-emirate/abu-dhabi/restaurants,,,,25,C,2026-08-11,,,,
128 Local Restaurants  near Abu Dhabi,Restaurant,Abu Dhabi,UAE,148638184917903,hello@squaremeal.ae,https://www.squaremeal.ae/restaurants/abu-dhabi/local-restaurants,,,,25,C,2026-08-11,,,,
Harper's Bazaar Arabia,Restaurant,Abu Dhabi,UAE,+971 50 854 8062,charlie.boyd@itp.com,https://www.harpersbazaararabia.com/culture/dining/34-of-the-best-restaurants-in-abu-dhabi,,,,25,C,2026-08-11,,,,
50B - Discovery,Restaurant,Abu Dhabi,UAE,135605976157098,clelia.dicasola@wrbm.com,https://www.theworlds50best.com/discovery/sitemap/united+arab+emirates/abu+dhabi,,,,25,C,2026-08-11,,,,
Condé Nast Traveller Middle East,Restaurant,Abu Dhabi,UAE,351.016.526.027,connectmiddleeast@condenast.com,https://www.cntravellerme.com/story/best-restaurants-in-abu-dhabi,,,,25,C,2026-08-11,,,,
Condé Nast Traveler,Restaurant,Abu Dhabi,UAE,201372087600097,communications@condenast.com,https://www.cntraveler.com/gallery/best-restaurants-in-abu-dhabi,,,,25,C,2026-08-11,,,,
Yalla Abu Dhabi Life,Restaurant,Abu Dhabi,UAE,374.625 137.352,abudhabi.restaurants@ritzcarlton.com,https://yallaabudhabi.ae/food-drink/best-restaurants-abu-dhabi/,,,,25,C,2026-08-11,,,,
Fact Magazines,Restaurant,Abu Dhabi,UAE,549.655 124.083,info@factmagazines.com,https://www.factmagazines.com/uae/abu-dhabi/food-abu-dhabi/the-best-restaurants-in-abu-dhabi,,,,25,C,2026-08-11,,,,
Evendo,Restaurant,Abu Dhabi,UAE,+44 203 026 1075,support@evendo.com,https://evendo.com/locations/united-arab-emirates/abu-dhabi/best-restaurants,,0,,25,C,2026-08-11,,,,
"Best Restaurants in Abu Dhabi, Al Maryah Island",Restaurant,Abu Dhabi,UAE,1761029686047,info@thegalleria.ae,https://www.thegalleria.ae/en/dine,,,,25,C,2026-08-11,,,,
Abu Dhabi Restaurants,Restaurant,Abu Dhabi,UAE,4718-8233-3452,abudhabi.dining@rosewoodhotels.com,https://www.rosewoodhotels.com/en/abu-dhabi/dining,,,,25,C,2026-08-11,,,,
Marriott Bonvoy,Restaurant,Abu Dhabi,UAE,159-881844201519,restaurants.abudhabi@stregis.com,https://www.marriott.com/en-us/hotels/auhrx-the-st-regis-abu-dhabi/dining/,,,,25,C,2026-08-11,,,,
